AccountNumber,AWS Tenant,ConsolidatedPolicies,AWSIAMRoleNameNew
765750043360,Avitru,IAMFullAccess,ADFS-Avitru-cld-del-smb-us
765750043360,Avitru,IAMFullAccess,ADFS-Avitru-cld-mgt-smb-us
765750043360,Avitru,IAMFullAccess,ADFS-Avitru-cld-sre-infra
463061647317,DeltekDCO,"DCO_TrustedAdvisorReports,ComputeOptimizerReadOnlyAccess,AWSSavingsPlansFullAccess,DCO_Billing,BA-Athena-Access,BillingPurchaseAccess,Cost_Explorer_RW,DCO_CostExplorer_Read,DCO_Anomaly,DCO_AmazonAthena_FullAccess",ADFS-DCO-cld-costopt-admin
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_TrustedAdvisorReports,DCO_TrustedAdvisorReportsComputeOptimizerReadOnlyAccess,AWSSavingsPlansFullAccess,DCO_Billing,BA-Athena-Access,SupportAccess,BillingPurchaseAccess,Cost_Explorer_RW,DCO_CostExplorer_Read,DCO_Anomaly,DCO_Anomaly,DCO_AmazonAthena_FullAccess,DCO_ReadOnlyAccess,DCO_Purchase_Reserve_Instances,DCO_RDS_and_ElasticSearch_Purchase,DCO_RDS_and_ElasticSearch_Purchase,DCO_TrustedAdvisorReports,DCO_Artifact",ADFS-DCO-cld-costopt-analyst
463061647317,DeltekDCO,"AWSSavingsPlansFullAccess,DCO_Billing,BA-Athena-Access,BillingPurchaseAccess,Cost_Explorer_RW,DCO_CostExplorer_Read,DCO_AmazonAthena_FullAccess,DCO_Purchase_Reserve_Instances,DCO_RDS_and_ElasticSearch_Purchase,DCO_Artifact",ADFS-DCO-cld-costopt-analyst
463061647317,DeltekDCO,"ComputeOptimizerReadOnlyAccess,AWSSavingsPlansFullAccess,DCO_Billing,BA-Athena-Access,SupportAccess,BillingPurchaseAccess,Cost_Explorer_RW,DCO_CostExplorer_Read,DCO_Anomaly,DCO_AmazonAthena_FullAccess",ADFS-DCO-cld-cost-vendor-mgt
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,IAM_Setup",ADFS-DCO-cld-del-db
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_RDSFullAccess,DCO_ReadOnlyAccess,DCO_AmazonElastiCacheFullAccess,Temp_DCO_GovwinAdmin,GovwinS3BucketsVersioning,GovwinS3BucketsVersioning,Temp_DCO_Trafficlive,Temp_DCO_Trafficlive,Temp_DCO_KONA",ADFS-DCO-cld-del-govwin
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_Route53_Deltekenterprise,DCO_MaconomyAdmin,DCO_SecretManagers_DFMEDCO_Maconomy_SecretsManager_Policy,DCO_Maconomy_SecretsManager_Policy",ADFS-DCO-cld-del-mac
463061647317,DeltekDCO,"AWSApplicationMigrationFullAccess,DCO_Infrastructure_TagEditor,Infra_Config_Permission,DCO_InfraDelivery_NetworkEngr,DCO_EC2AutoScaling,DCO_InfraDelivery_CertificatePermissions,DCO_Lambda_SecretsManager_EventBridge,SSM-Admin,DCO_TrustedAdvisor,DCO_InfraDel_CloudfrontAccess",ADFS-DCO-cld-del-network
463061647317,DeltekDCO,"DCO_SSAA_S3,DCO_ReadOnlyAccess,DCO_Automation,DCO_Route53_DeltekPIM.com,PIM_ReadAccess,DCO-PIM-Structex-S3,PIM_S3_policy,DCO_PIM_InstanceStopStart,DCO_PIM_InstanceStopStart,DCO_SecretsManager_PIM,DCO_ReadOnlyAccess",ADFS-DCO-cld-del-smb-eu
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_AmazonElastiCacheFullAccess,Temp_DCO_GovwinAdmin,GovwinS3BucketsVersioning,GovwinS3BucketsVersioning,Temp_DCO_Trafficlive,Temp_DCO_Trafficlive,Temp_DCO_KONA",ADFS-DCO-cld-del-smb-us
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,AWSApplicationMigrationFullAccess,DCO_Infrastructure_TagEditor,Infra_Config_Permission,DCO_InfraDelivery_NetworkEngr,DCO_EC2AutoScaling,DCO_InfraDelivery_CertificatePermissions,DCO_Lambda_SecretsManager_EventBridge,SSM-Admin,DCO_TrustedAdvisor,DCO_TrustedAdvisorDCO_MarketPlace_Access",ADFS-DCO-cld-del-tools
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_Route53_DeltekFirst,DCO_S3Transfer_DFVE_DPS,DCO_AjeraAdmin,DCO_VisionAdmin,DCO_S3Transfer_DFVE_DPS",ADFS-DCO-cld-del-vp-aj
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_S3Transfer_DFVE_DPS,DCO_AjeraAdmin,S3ReadAndWriteAccess_RITM0100831",ADFS-DCO-cld-eng-dev-dev
463061647317,DeltekDCO,"DCO_S3Transfer_DFVE_DPS,DCO_ReadOnlyAccess,DCO_AjeraAdmin,S3ReadAndWriteAccess_RITM0100831",ADFS-DCO-cld-eng-svceng-app-infra
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_VisionAdmin",ADFS-DCO-cld-leads-sre-vp-aj
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,IAM_Setup",ADFS-DCO-cld-mgt-db
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_ReadOnlyAccess,DCO_Route53_Deltekenterprise,DCO_Maconomy_SecretsManager_Policy,DCO_Maconomy_SecretsManager_Policy,DCO_SecretManagers_DFME",ADFS-DCO-cld-mgt-mac
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_ReadOnlyAccess,DCO_Route53_Deltekenterprise",ADFS-DCO-cld-mgt-product-glbl
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_TrafficLiveAdmin,DCO_ReadOnlyAccess,DCO_RDSFullAccess,DCO_KonaAdmin,DCO_AmazonElastiCacheFullAccess",ADFS-DCO-cld-mgt-smb-us
463061647317,DeltekDCO,"DCO_S3Transfer_DFVE_DPS,DCO_ReadOnlyAccess,DCO_AjeraAdmin,DCO_VisionAdmin,IAM_Setup",ADFS-DCO-cld-mgt-sre-vp-aj
463061647317,DeltekDCO,"DCO_KMS_Management,DCO_IAMFullAccess,DCO_ReadOnlyAccess,DCO_SystemsManagerPolicy,DCO_S3Backup,DCO_SSAA_S3,SiteReliability_SSAA,SiteReliability_Access",ADFS-DCO-cld-mgt-tools
463061647317,DeltekDCO,"DCO_S3Transfer_DFVE_DPS,DCO_ReadOnlyAccess,DCO_AjeraAdmin,DCO_Route53_DeltekFirst,DCO_S3Transfer_DFVE_DPS,DCO_VisionAdmin,IAM_Setup",ADFS-DCO-cld-mgt-vp-aj
463061647317,DeltekDCO,"Onvia_S3_Access,Onvia_S3_AccessDCO_S3Backup_Route53ReadOnlyAccess,DCO_S3BackupUser,DCO_S3BackupUserSecurityAudit,DCO_IAMUserAccessKeys,DCO_TrustedAdvisorAll,DCO_Artifact,DCO_ArtifactDCO_GovwinS3Migration,DCO_ArtifactDCO_GovwinS3MigrationDCO_S3_Readonly,DCO_ArtifactDCO_GovwinS3MigrationDCO_S3_ReadonlyS3ReadAndWriteAccess_RITM0100831,DCO_ArtifactDCO_GovwinS3MigrationDCO_S3_ReadonlyS3ReadAndWriteAccess_RITM0100831GovwinAppS3Prod,DCO_ArtifactDCO_GovwinS3MigrationDCO_S3_ReadonlyS3ReadAndWriteAccess_RITM0100831GovwinAppS3ProdGovwinAppS3QA",ADFS-DCO-cld-sec-assessment
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_TrustedAdvisorReports,SecurityAudit,DCO_IAMUserAccessKeys,DCO_TrustedAdvisorAll,DCO_Artifact",ADFS-DCO-cld-sec-eng
463061647317,DeltekDCO,"DCO_AdministratorAccess,EC2ConsoleConnectforWindows",ADFS-DCO-cld-sre-app
463061647317,DeltekDCO,"DCO_KMS_Management,DCO_IAMFullAccess,DCO_AdministratorAccess,EC2ConsoleConnectforWindows,EC2ConsoleConnectforWindows,DCO_ReadOnlyAccess,DCO_SystemsManagerPolicy,DCO_S3Backup,DCO_SSAA_S3,SiteReliability_SSAA,SiteReliability_Access,DCO_SystemAdmin,DCO_SystemsManagerPolicy,SiteReliability_Access,InfraSRE_R53,InfraSRE_ELB",ADFS-DCO-cld-sre-infra
463061647317,DeltekDCO,"DCO_KMS_Management,DCO_IAMFullAccess,DCO_AdministratorAccess,EC2ConsoleConnectforWindows,DCO_S3Backup,DCO_SSAA_S3,SiteReliability_SSAA,DCO_SystemAdmin,SiteReliability_Access,InfraSRE_ELB",ADFS-DCO-cld-sre-infra
463061647317,DeltekDCO,"DCO_ReadOnlyAccess,DCO_ReadOnlyAccess,DCO_Route53_Deltekenterprise,IAM_Setup,DCO_MaconomyAdmin",ADFS-DCO-cld-sre-mac
463061647317,DeltekDCO,"IAM_Setup,DCO_ReadOnlyAccess",ADFS-DCO-cld-sre-vp-aj
343866166964,DeltekDCODev,"ReadOnlyAccess,CloudFormationForSCTASK0077069,DCO_Automation_Cloudformation,DCO_SelfManage_AccessKey,UnionPointDelivery-RDS,UnionPointAdmim-SecretsManager,UnionPointDelivery,DCO_Automation_Cloudformation,DCO_Automation_Cloudformation,DCO_SelfManage_AccessKey,UnionPointDelivery,TagIAMSetUpEKSctlForSCTASK0077069,IAMForSCTASK0077069",ADFS-DCODev-cld-del-integration
